feature_id,gadm_admin.GID_0,x,y
AGO.17.8_1,AGO,16.59401125,-7.03959981
AGO.17.9_1,AGO,15.04484498,-7.10447914
AGO.17.10_1,AGO,15.38780311,-7.82670187
AGO.17.11_1,AGO,15.67758832,-7.65204486
AGO.17.12_1,AGO,16.36123396,-6.34704793
AGO.17.13_1,AGO,14.91630936,-8.0580565
AGO.17.14_1,AGO,16.05132047,-7.22508093
AGO.17.15_1,AGO,14.78937177,-7.15444086
AGO.17.16_1,AGO,15.08626993,-7.56938938
AGO.18.1_1,AGO,14.65698849,-6.21281492
AGO.18.2_1,AGO,14.17951178,-6.31797649
AGO.18.3_1,AGO,13.39601209,-7.3293324
AGO.18.4_1,AGO,13.50455249,-6.15220544
AGO.18.5_1,AGO,12.72925954,-6.28235575
AGO.18.6_1,AGO,13.36081307,-6.70704141
BDI.1.1_1,BDI,29.36570769,-3.05899649
BDI.1.2_1,BDI,29.29429204,-3.19733389
BDI.1.3_1,BDI,29.40851582,-3.18586735
BDI.1.4_1,BDI,29.47656233,-3.03761513
BDI.1.5_1,BDI,29.48424153,-3.20699516
BDI.2.1_1,BDI,29.33749953,-3.33162233
BDI.2.2_1,BDI,29.35945707,-3.37195094
BDI.2.3_1,BDI,29.36956842,-3.37257591
BDI.2.4_1,BDI,29.37140228,-3.34249389
BDI.2.5_1,BDI,29.39295829,-3.36339102
BDI.2.6_1,BDI,29.38976121,-3.34645035
BDI.2.7_1,BDI,29.35594051,-3.45512538
BDI.2.8_1,BDI,29.39220091,-3.32714626
BDI.2.9_1,BDI,29.35366152,-3.40973768
BDI.2.10_1,BDI,29.29410211,-3.3966031
BDI.2.11_1,BDI,29.37478758,-3.41375076
BDI.2.12_1,BDI,29.35951434,-3.35832263
BDI.2.13_1,BDI,29.37982952,-3.37598774
BDI.2.14_1,BDI,29.37366451,-3.38698669
BDI.3.1_1,BDI,29.40040839,-3.69047845
BDI.3.2_1,BDI,29.47044609,-3.36344333
BDI.3.3_1,BDI,29.36996892,-3.53110131
BDI.3.4_1,BDI,29.41531357,-3.4309689
BDI.3.5_1,BDI,29.28136418,-3.53750423
BDI.3.6_1,BDI,29.48403501,-3.2957434
BDI.3.7_1,BDI,29.54853424,-3.44141478
BDI.3.8_1,BDI,29.41521975,-3.62351269
BDI.3.9_1,BDI,29.51391646,-3.56457156
BDI.3.10_1,BDI,29.43279011,-3.52849953
BDI.3.11_1,BDI,29.32226615,-3.30412415
BDI.3.12_1,BDI,29.47524527,-3.4575958
BDI.4.1_1,BDI,29.45242347,-3.79864144
BDI.4.2_1,BDI,29.6738623,-3.96327482
BDI.4.3_1,BDI,29.53299724,-3.84874176
BDI.4.4_1,BDI,29.35790732,-3.96237508
BDI.4.5_1,BDI,29.71441775,-3.74483603
BDI.4.6_1,BDI,29.58660399,-3.67034841
BDI.4.7_1,BDI,29.45710987,-3.96220589
BDI.4.8_1,BDI,29.83198939,-3.87817304
BDI.4.9_1,BDI,29.66758951,-3.85336026
