"HDI Rank","Country","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2007-2018",""
"MPI 2019: Contribution of Health
null
Dimension: Poverty
Definition: Percentage of the Multidimensional Poverty Index attributed to deprivations in the health dimension.
"110"," Libya","..","","..","","..","","..","","..","","..","","..","","39.0","a","..","","..","","..","","..","","39.0","a"
"162"," Madagascar","..","","..","","17.5","a","..","","..","","..","","..","","..","","..","","..","","..","","..","","17.5","a"
"172"," Malawi","..","","..","","..","","..","","..","","..","","..","","..","","..","","20.7","a","..","","..","","20.7","a"
"104"," Maldives","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","80.7","a","..","","80.7","a"
"184"," Mali","..","","..","","..","","..","","..","","..","","..","","..","","22.0","a","..","","..","","..","","22.0","a"
"161"," Mauritania","..","","..","","..","","..","","..","","..","","..","","..","","20.2","a","..","","..","","..","","20.2","a"
"76"," Mexico","..","","..","","..","","..","","..","","..","","..","","..","","..","","67.0","a,c","..","","..","","67.0","a,c"
"107"," Moldova (Republic of)","..","","..","","..","","..","","..","","9.2","a","..","","..","","..","","..","","..","","..","","9.2","a"
"92"," Mongolia","..","","..","","..","","..","","..","","..","","24.0","a","..","","..","","..","","..","","..","","24.0","a"
"52"," Montenegro","..","","..","","..","","..","","..","","..","","24.4","a,d","..","","..","","..","","..","","..","","24.4","a,d"
"121"," Morocco","..","","..","","..","","..","","25.6","a,d","..","","..","","..","","..","","..","","..","","..","","25.6","a,d"
"180"," Mozambique","..","","..","","..","","..","","17.2","a","..","","..","","..","","..","","..","","..","","..","","17.2","a"
"145"," Myanmar","..","","..","","..","","..","","..","","..","","..","","..","","..","","18.5","a","..","","..","","18.5","a"
"130"," Namibia","..","","..","","..","","..","","..","","..","","30.3","a","..","","..","","..","","..","","..","","30.3","a"
"147"," Nepal","..","","..","","..","","..","","..","","..","","..","","..","","..","","31.5","a","..","","..","","31.5","a"
"126"," Nicaragua","..","","..","","..","","..","","..","","11.1","a","..","","..","","..","","..","","..","","..","","11.1","a"
"189"," Niger","..","","..","","..","","..","","..","","20.3","a","..","","..","","..","","..","","..","","..","","20.3","a"
"158"," Nigeria","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","27.0","a","..","","27.0","a"
